eps iterations error
1e-40 239 7.963813547394337e-15
1e-38 236 7.963813547394337e-15
1e-36 231 7.963813547394337e-15
1e-34 227 7.963813547394337e-15
9.999999999999999e-33 217 7.963813547394337e-15
9.999999999999999e-31 216 7.963813547394337e-15
9.999999999999999e-29 210 7.963813547394337e-15
9.999999999999999e-27 204 7.963813547394337e-15
1e-24 198 7.963813547394337e-15
9.999999999999999e-23 195 7.963813547394337e-15
1e-20 186 7.963813547394337e-15
9.999999999999999e-19 179 7.963813547394337e-15
9.999999999999999e-17 174 7.963813547394337e-15
9.999999999999998e-15 164 7.963813547394337e-15
9.999999999999998e-13 152 7.963813547394337e-15
9.999999999999998e-11 135 7.963813547394337e-15
9.999999999999999e-09 113 7.963813547394337e-15
1e-06 88 7.224042567527121e-11
9.999999999999999e-05 64 5.966046008760082e-07
0.009999999999999998 24 0.007197909739637541
